Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Maltese,Malta,White,8,Brown,12,Intelligent,Dental problems
Miniature Pinscher,Germany,Red,10,Brown,12,Intelligent,Dental problems
Samoyed,Russia,White,21,Brown,12,Intelligent,Dental problems
Shetland Sheepdog,Scotland,Sable,13,Brown,12,Intelligent,Dental problems
Staffordshire Bull Terrier,England,White,14,Brown,12,Intelligent,Dental problems
Vizsla,Hungary,Red,20,Brown,12,Intelligent,Dental problems
Anatolian Shepherd,Turkey,Fawn,27,Brown,12,Loyal,Dental problems
Welsh Corgi,Wales,Red,10,Brown,12,Intelligent,Dental problems
Welsh Springer Spaniel,Wales,Liver,20,Brown,12,Intelligent,Dental problems
Welsh Terrier,Wales,Black,10,Brown,12,Intelligent,Dental problems
West Highland White Terrier,Scotland,White,10,Brown,12,Intelligent,Dental problems
Whippet,England,White,18,Brown,12,Intelligent,Dental problems
Wirehaired Pointing Griffon,Belgium,Brown,21,Brown,12,Intelligent,Dental problems
Xoloitzcuintli,Mexico,Black,10,Brown,12,Intelligent,Dental problems
Yorkshire Terrier,England,Blue & Tan,7,Brown,12,Intelligent,Dental problems
Akita,Japan,Red,24,Brown,10,Loyal,Dental problems
Africanis,Africa,Brown,22,Brown,12,Intelligent,Dental problems
Basenji,Congo,Red,16,Brown,12,Intelligent,Dental problems
Catahoula Leopard Dog,United States,Merle,20,Brown,12,Intelligent,Dental problems
Cocker Spaniel,England,Black,14,Brown,12,Intelligent,Dental problems
Miniature Shiba Inu,Japan,Red,13,Brown,12,Intelligent,Dental problems
Belgian Tervuren,Belgium,Fawn,22,Brown,12,Intelligent,Dental problems
Pharaoh Hound,Malta,Red,21,Brown,12,Intelligent,Dental problems
